17.08.2019-00:19:31,17.50,16.94,17.31,17.50,44.44,18.12,18.69,18.44,18.19,0,1,1,1,1.020,0.383,22383.783
17.08.2019-00:19:41,17.50,16.94,17.31,17.50,44.44,18.12,18.69,18.50,18.19,0,1,1,1,1.020,0.383,22383.783
17.08.2019-00:19:51,17.50,16.94,17.31,17.50,44.44,18.12,18.69,18.50,18.25,0,1,1,1,1.020,0.383,22383.783
17.08.2019-00:20:01,17.50,16.94,17.31,17.50,44.44,18.12,18.69,18.50,18.25,0,1,1,1,1.019,0.392,22383.792
17.08.2019-00:20:11,17.50,16.94,17.31,17.50,44.44,18.12,18.69,18.50,18.25,0,1,1,1,1.019,0.392,22383.792
17.08.2019-00:20:21,17.50,16.94,17.31,17.50,44.44,18.12,18.69,18.50,18.25,0,1,1,1,1.019,0.392,22383.792
17.08.2019-00:20:31,17.44,16.94,17.25,17.44,44.44,18.12,18.69,18.50,18.25,0,1,1,1,1.023,0.400,22383.800
17.08.2019-00:20:41,17.44,16.94,17.25,17.44,44.44,18.12,18.69,18.44,18.25,0,1,1,1,1.023,0.400,22383.800
17.08.2019-00:20:51,17.44,16.94,17.25,17.50,44.44,18.12,18.69,18.44,18.25,0,1,1,1,1.023,0.400,22383.800
17.08.2019-00:21:01,17.44,16.94,17.25,17.50,44.38,18.12,18.75,18.44,18.25,0,1,1,1,1.016,0.408,22383.808
17.08.2019-00:21:11,17.44,16.94,17.25,17.50,44.38,18.12,18.75,18.44,18.25,0,1,1,1,1.016,0.408,22383.808
17.08.2019-00:21:21,17.44,16.94,17.31,17.44,44.44,18.12,18.75,18.44,18.25,0,1,1,1,1.016,0.408,22383.808
17.08.2019-00:21:31,17.44,16.94,17.31,17.44,44.44,18.12,18.75,18.44,18.25,0,1,1,1,1.013,0.417,22383.817
17.08.2019-00:21:41,17.44,16.88,0.00,17.44,44.44,18.12,18.75,18.44,18.25,0,1,1,1,1.013,0.417,22383.817
17.08.2019-00:21:51,17.44,16.88,0.00,17.44,44.44,18.06,18.69,18.44,18.19,0,1,1,1,1.197,0.425,22383.825
17.08.2019-00:22:01,17.44,16.94,0.00,17.44,44.44,18.06,18.69,18.44,18.19,0,1,1,1,1.197,0.425,22383.825
17.08.2019-00:22:11,17.44,16.94,0.00,17.44,44.38,18.06,18.69,18.44,18.19,0,1,1,1,1.197,0.425,22383.825
17.08.2019-00:22:21,17.44,16.94,0.00,17.44,44.38,18.06,18.69,18.44,18.19,0,1,1,1,1.124,0.433,22383.833
17.08.2019-00:22:31,17.44,16.94,17.25,17.50,44.38,18.12,18.69,18.44,18.19,0,1,1,1,1.124,0.433,22383.833
17.08.2019-00:22:41,17.44,16.94,17.25,17.50,44.38,18.12,18.75,18.44,18.19,0,1,1,1,1.133,0.442,22383.842
17.08.2019-00:22:51,17.44,16.94,17.25,17.44,44.38,18.12,18.75,18.44,18.19,0,1,1,1,1.133,0.442,22383.842
17.08.2019-00:23:01,17.44,16.94,17.25,17.44,44.38,18.12,18.75,18.44,18.19,0,1,1,1,1.133,0.442,22383.842
17.08.2019-00:23:12,17.44,16.94,17.25,17.44,44.38,18.12,18.75,18.44,18.19,0,1,1,1,1.146,0.450,22383.850
17.08.2019-00:23:22,17.44,16.94,17.31,17.44,44.31,18.06,18.75,18.44,18.19,0,1,1,1,1.146,0.450,22383.850
17.08.2019-00:23:32,17.44,16.94,17.31,17.44,44.31,18.06,18.75,18.44,18.19,0,1,1,1,1.146,0.450,22383.850
17.08.2019-00:23:42,17.44,16.94,17.25,17.44,44.31,18.06,18.62,18.44,18.19,0,1,1,1,1.140,0.458,22383.858
17.08.2019-00:23:52,17.44,16.94,17.25,17.44,44.31,18.06,18.62,18.44,18.19,0,1,1,1,1.140,0.458,22383.858
17.08.2019-00:24:02,17.44,16.94,17.25,17.50,44.31,18.06,18.62,18.44,18.19,0,1,1,1,1.138,0.467,22383.867
17.08.2019-00:24:12,17.44,16.94,17.25,17.50,44.31,18.06,18.62,18.44,18.25,0,1,1,1,1.138,0.467,22383.867
17.08.2019-00:24:22,17.50,16.94,17.25,17.50,44.31,18.06,18.62,18.44,18.25,0,1,1,1,1.138,0.467,22383.867
17.08.2019-00:24:32,17.50,16.94,17.25,17.44,44.31,18.06,18.69,18.44,18.19,0,1,1,1,1.133,0.475,22383.875
17.08.2019-00:24:42,17.50,16.94,17.25,17.44,44.31,18.06,18.69,18.44,18.19,0,1,1,1,1.133,0.475,22383.875
17.08.2019-00:24:52,17.44,16.94,17.31,17.44,44.25,18.06,18.69,18.44,18.19,0,1,1,1,1.133,0.475,22383.875
17.08.2019-00:25:02,17.44,16.94,17.31,17.44,44.25,18.06,18.69,18.44,18.25,0,1,1,1,1.133,0.483,22383.883
